Hour,Production_MW,Discharge_m3s,Volume_Mm3
1,0.0,0.0,3.18
2,0.0,0.0,3.36
3,36.2399999999977,15.3221714865541,3.48484018264841
4,86.5,36.5719600879419,3.53318112633182
5,86.5,36.5719600879419,3.58152207001522
6,86.5,36.5719600879419,3.62986301369863
7,86.5,36.5719600879419,3.67820395738204
8,86.5,36.5719600879419,3.72654490106545
9,86.5,36.5719600879419,3.77488584474886
10,86.5,36.5719600879419,3.82322678843227
11,86.5,36.5719600879418,3.87156773211568
12,86.5,36.5719600879418,3.91990867579909
13,86.5,36.5719600879418,3.9682496194825
14,86.5,36.5719600879418,4.01659056316591
15,86.5,36.5719600879418,4.06493150684932
16,86.5,36.5719600879418,4.11327245053273
17,86.5,36.5719600879418,4.16161339421614
18,86.5,36.5719600879418,4.20995433789954
19,86.5,36.5719600879418,4.25829528158295
20,86.5,36.5719600879418,4.30663622526636
21,86.5,36.5719600879418,4.35497716894977
22,86.5,36.5719600879418,4.40331811263318
23,86.5,36.5719600879418,4.45165905631659
24,86.5,36.5719600879418,4.5
25,0.0,0.0,4.5
26,0.0,0.0,4.5
27,0.0,0.0,4.5
28,0.0,0.0,4.5
29,0.0,0.0,4.5
30,0.0,0.0,4.5
31,86.5,36.5719600879418,4.36834094368341
32,86.5,36.5719600879418,4.23668188736682
33,86.5,36.5719600879418,4.10502283105023
34,86.5,36.5719600879418,3.97336377473364
35,86.5,36.5719600879418,3.84170471841705
36,86.5,36.5719600879418,3.71004566210046
37,86.5,36.5719600879418,3.57838660578387
38,86.5,36.5719600879418,3.44672754946728
39,86.5,36.5719600879418,3.31506849315069
40,86.5,36.5719600879418,3.1834094368341
41,86.5,36.5719600879418,3.05175038051751
42,86.5,36.5719600879418,2.92009132420092
43,86.5,36.5719600879418,2.78843226788433
44,86.5,36.5719600879418,2.65677321156774
45,86.5,36.5719600879418,2.52511415525115
46,86.5,36.5719600879418,2.39345509893456
47,86.5,36.5719600879418,2.26179604261797
48,86.5,36.5719600879418,2.13013698630138
